cluster,keyword,language,intent,page,priority,evidence,metric_note
"Product category discovery","rings Bangladesh","English","Transactional","/en/categories/rings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","rings online Bangladesh","English","Transactional","/en/categories/rings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","rings shop Bangladesh","English","Commercial","/en/categories/rings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","rings for women Bangladesh","English","Commercial","/en/categories/rings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","rings new design Bangladesh","English","Commercial","/en/categories/rings/","Medium","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","rings gift Bangladesh","English","Commercial","/en/categories/rings/","Medium","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","আংটি অনলাইন","Bengali","Transactional","/en/categories/rings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","আংটি বাংলাদেশ","Bengali","Transactional","/en/categories/rings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","আংটি নতুন ডিজাইন","Bengali","Commercial","/en/categories/rings/","Medium","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","আংটি দাম বাংলাদেশ","Bengali","Commercial","/en/categories/rings/","Medium","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","earrings Bangladesh","English","Transactional","/en/categories/earrings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","earrings online Bangladesh","English","Transactional","/en/categories/earrings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","earrings shop Bangladesh","English","Commercial","/en/categories/earrings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","earrings for women Bangladesh","English","Commercial","/en/categories/earrings/","High","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
"Product category discovery","earrings new design Bangladesh","English","Commercial","/en/categories/earrings/","Medium","Public Bangladesh jewelry category terminology and search-result language.","Public-data research: exact monthly volume, CPC, and keyword difficulty not verified."
